Cod_Cli-Cod_cli,PROVINCIA,TOTAL_VOL,Uds_AH,Uds_DNT,Uds_VH,Resto_Farmacos,MUESTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S23,"A CORUNA",0,955890,764,750,"79171467,74",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S870,"A CORUNA",0,46500,26,25,"2503893,331",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S921,"A CORUNA",0,88000,510,360,"207916,7095",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1794,"A CORUNA",0,222400,78,91,"6441485,888",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1859,"A CORUNA",0,0,0,11,"163570,5791",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1937,"A CORUNA",0,45300,215,55,"1351965,485",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1938,"A CORUNA",0,232700,437,117,"3969121,848",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1939,"A CORUNA",0,563850,410,174,"2707927,182",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1940,"A CORUNA",0,56750,170,102,"2519761,659",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1941,"A CORUNA",0,120900,75,44,"2853333,483",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1942,"A CORUNA",0,250550,161,152,"14457808,03",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1943,"A CORUNA",0,270360,195,77,"1595331,668",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1944,"A CORUNA",0,231500,158,133,"10680743,5",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1945,"A CORUNA",0,560675,454,235,"7854085,463",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1946,"A CORUNA",0,635225,419,379,"18594191,81",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1947,"A CORUNA",0,513300,598,532,"33748826,29",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1948,"A CORUNA",0,102900,42,15,"1975209,69",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1949,"A CORUNA",0,64100,314,174,"84862,77508",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1950,"A CORUNA",0,23650,476,399,"4066429,005",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1951,"A CORUNA",0,46500,249,249,"5755560,396",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1952,"A CORUNA",0,519450,486,278,"27212155,3",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1953,"A CORUNA",0,17800,142,58,"8126173,426",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1954,"A CORUNA",0,181850,278,227,"15247562,41",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1955,"A CORUNA",0,75000,63,46,"2002380,905",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1957,"A CORUNA",0,189900,193,69,"3397814,45",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
