Cod_Cli-Cod_cli,PROVINCIA,TOTAL_VOL,Uds_AH,Uds_DNT,Uds_VH,Resto_Farmacos,MUESTRA,"Facturacion estimada",Diferencia,"Cuota total mercado","Cuota actual","Cuota potencial",,,,
anon_S0,ALAVA,0,90300,162,117,"21317197,37",0,"378853738,10102487","400080914,4710249","5,652218633078745E-05","3,193882501933522E-06","5,332830382885392E-05",,,,
anon_S1,ALAVA,0,127200,298,42,"321079,2096",0,"659237240,041525","659431459,251125","9,83533389550059E-05","6,693068064652467E-08","9,828640827435936E-05",,"Coeficientes del modelo",,
anon_S2,ALAVA,0,45825,286,84,"1749363,513",0,"635883723,4679635","637587631,9809635","9,486916635091246E-05","2,6788410046664155E-07","9,460128225044582E-05",,,,
anon_S3,ALAVA,0,258600,152,47,"3960844,178",0,"343106415,43545425","346808858,6134542","5,1188949175314605E-05","6,29539671831753E-07","5,055940950348285E-05",,B1,"6790675,477608653",Constante
anon_S4,ALAVA,0,210100,327,164,"3079924,312",0,"729895329,432445","732765644,7444451","0,00010889500528341374","4,909206400375492E-07","0,0001084040846433762",,B2,"2182195,3409090666",Vol_Uds_Far_DNT
anon_S5,ALAVA,0,7800,35,8,"327995,4794",0,"83741479,44988525","84061717,92928524","1,2493611726803278E-05","5,010462666896878E-08","1,244350710013431E-05",,B3,"46548,13489283612",Vol_Uds_Far_VH
anon_S6,ALAVA,0,4800,172,40,"2511218,719",0,"385533563,44749236","388040194,16649234","5,75187670555353E-05","3,754030836898968E-07","5,7143363971845405E-05",,B4,"0,6145876207968667",Resto_Farmacos
anon_S7,ALAVA,0,11400,78,25,"69249,82248",0,"178208175,5244753","178266128,3469553","2,6587346750629357E-05","1,2047726127317349E-08","2,657529902450204E-05",,,,
anon_S8,ALAVA,0,1947550,687,246,"14008073,66",0,"1526018904,5284219","1538080361,188422","0,00022767077685019224","2,3806006857817716E-06","0,00022529017616441046",,,,
anon_S9,ALAVA,0,49200,235,115,"35208351,54",0,"546598233,1090639","581757734,6490638","8,154842904474994E-05","5,260219129591971E-06","7,628820991515797E-05",,,,
anon_S10,ALAVA,0,285150,373,190,"8713684,185",0,"834949005,6979638","843378102,8829638","0,00012456823974686912","1,3426437524543935E-06","0,00012322559599441474",,,,
anon_S11,ALAVA,0,142350,129,61,"1833433,146",0,"292260115,9984315","293951389,14443153","4,3603055934783744E-05","2,9480063441544313E-07","4,33082553003683E-05",,,,
anon_S12,ALAVA,0,77700,136,57,"1353910,539",0,"307054582,1870692","308330985,72606915","4,581028128451945E-05","2,136145384920513E-07","4,5596666746027396E-05",,,,
anon_S13,ALAVA,0,119400,295,160,"629963,0559",0,"658373170,1243526","658884188,1802526","9,822442608982988E-05","1,1186732928174835E-07","9,811255876054814E-05",,,,
anon_S14,ALAVA,0,14120,260,107,"333530,3036",0,"579347098,1432526","579666875,4468526","8,643431841425282E-05","5,192161750604676E-08","8,638239679674677E-05",,,,
anon_S15,ALAVA,0,205150,354,131,"958548,3029",0,"785974743,7512779","786728627,0541779","0,00011726164070672654","1,7368757109150814E-07","0,00011708795313563503",,,,
anon_S16,ALAVA,0,78750,27,12,"58333,70258",0,"66304378,4723484","66284001,1749284","9,892124737493756E-06","2,0457696905028747E-08","9,871667040588727E-06",,,,
anon_S17,ALAVA,0,0,1,0,0,0,"8972870,818517718","8972871,818517718","1,3386862140214733E-06","1,4919263200120593E-13","1,3386860648288413E-06",,,,
anon_S18,ALAVA,0,0,109,33,"138457,9903",0,"246271150,6549993","246409750,6452993","3,674184115218485E-05","2,067809734819861E-08","3,672116305483665E-05",,,,
anon_S19,ALAVA,0,17850,202,58,"552209,3329",0,"450633307,18511343","451167926,5180134","6,723116916635502E-05","8,508744235652296E-08","6,71460817239985E-05",,,,
anon_S20,ALAVA,0,17700,142,76,"2301530,835",0,"321614564,498625","323898613,33362496","4,798252336747146E-05","3,4604467648578077E-07","4,763647869098568E-05",,,,
anon_S21,ALAVA,0,298900,153,64,"4235096,246",0,"346248480,99551225","350184894,24151224","5,165772220614E-05","6,764712082254714E-07","5,098125099791453E-05",,,,
anon_S22,ALAVA,0,7500,4,0,0,0,"15519456,84124492","15511960,84124492","2,315388613374451E-06","1,1195415105370492E-09","2,3142690718639136E-06",,,,
anon_S23,"A CORUNA",0,955890,764,750,"79171467,74",0,"1757556821,0950851","1835773912,8350852","0,00026221452803084836","1,1954637274177648E-05","0,0002502598907566707",,,,
anon_S24,LUGO,0,186500,398,293,"39839936,29",0,"913428156,3401879","953082283,6301879","0,00013627675078840164","5,9717524718423965E-06","0,00013030499831655925",,,,
anon_S25,ALAVA,0,0,166,16,"806450,7443",0,"370275506,8710283","371082139,6153283","5,524237743566932E-05","1,2034366218047273E-07","5,5122033773488846E-05",,,,
anon_S26,ALAVA,0,46050,25,0,"495447,3967",0,"61650054,837103166","62099477,23380317","9,197733944166098E-06","8,079115165127413E-08","9,116942792514824E-06",,,,
anon_S27,ALAVA,0,34800,200,70,"8154020,019",0,"451499472,8653277","459618962,8843277","6,73603947039353E-05","1,2217518936294155E-06","6,613864281030589E-05",,,,
anon_S28,ALAVA,0,385600,236,108,"17462436,45",0,"537548171,7716967","554625352,2216967","8,019822657405578E-05","2,662846856294368E-06","7,753537971776141E-05",,,,
