Cod_Cli;PROVINCIA;Uds_AH;Uds_DNT;Uds_VH;Resto_Farmacos
anon_S0;ALAVA;90300;162;117;21317197,37
anon_S1;ALAVA;127200;298;42;321079,2096
anon_S2;ALAVA;45825;286;84;1749363,513
anon_S3;ALAVA;258600;152;47;3960844,178
anon_S4;ALAVA;210100;327;164;3079924,312
anon_S5;ALAVA;7800;35;8;327995,4794
anon_S6;ALAVA;4800;172;40;2511218,719
anon_S7;ALAVA;11400;78;25;69249,82248
anon_S8;ALAVA;1947550;687;246;14008073,66
anon_S9;ALAVA;49200;235;115;35208351,54
anon_S10;ALAVA;285150;373;190;8713684,185
anon_S11;ALAVA;142350;129;61;1833433,146
anon_S12;ALAVA;77700;136;57;1353910,539
anon_S13;ALAVA;119400;295;160;629963,0559
anon_S14;ALAVA;14120;260;107;333530,3036
anon_S15;ALAVA;205150;354;131;958548,3029
anon_S16;ALAVA;78750;27;12;58333,70258
anon_S17;ALAVA;0;1;0;0
anon_S18;ALAVA;0;109;33;138457,9903
anon_S19;ALAVA;17850;202;58;552209,3329
anon_S20;ALAVA;17700;142;76;2301530,835
anon_S21;ALAVA;298900;153;64;4235096,246
anon_S22;ALAVA;7500;4;0;0
anon_S23;A CORUNA;955890;764;750;79171467,74
anon_S24;LUGO;186500;398;293;39839936,29
anon_S25;ALAVA;0;166;16;806450,7443
anon_S26;ALAVA;46050;25;0;495447,3967
anon_S27;ALAVA;34800;200;70;8154020,019
anon_S28;ALAVA;385600;236;108;17462436,45
anon_S29;ALAVA;63900;33;21;1469799,554
anon_S30;ALAVA;170475;304;127;8251912,072
anon_S31;ALAVA;0;107;25;1650850,22
anon_S32;ALAVA;65400;43;21;1226875,367
anon_S33;ALAVA;56250;25;14;0
anon_S34;ALAVA;0;58;41;0
anon_S35;ALAVA;0;15;6;65200,61175
anon_S36;ALAVA;15000;9;17;949983,1797
anon_S37;ALAVA;120000;164;152;94543,00144
anon_S38;ALBACETE;60900;231;190;5271363,53
anon_S39;ALBACETE;113100;125;318;9394530,651
anon_S40;ALBACETE;68700;152;153;7178036,562
anon_S41;ALBACETE;458800;594;1092;33856139,19
anon_S42;ALBACETE;43250;218;325;11584510,45
anon_S43;ALBACETE;0;231;552;22829442,34
anon_S44;ALBACETE;266400;171;312;13259776,27
anon_S45;ALBACETE;106650;329;754;52998247,06
anon_S46;ALBACETE;85100;209;434;15838457,98
anon_S47;ALBACETE;66600;306;584;21922712,06
anon_S48;ALBACETE;0;5;57;4094095,576
anon_S49;ALBACETE;0;32;266;0
anon_S50;ALBACETE;30825;13;39;5045463,292
anon_S51;ALBACETE;18000;34;161;8738730,135
anon_S52;ALBACETE;3000;18;48;5709332,318
anon_S53;ALBACETE;0;0;0;0
anon_S54;ALBACETE;2400;86;159;3422908,301
anon_S55;ALBACETE;0;0;30;2191682,892
anon_S56;ALBACETE;0;5;49;3507470,639
anon_S57;ALBACETE;0;40;96;0
anon_S58;ALBACETE;12900;10;52;7180990,308
anon_S59;ALBACETE;0;58;145;5752359,67
anon_S60;ALBACETE;99000;36;100;13388209,11
anon_S61;ALBACETE;0;7;16;0
anon_S62;ALBACETE;60000;30;42;1263142,538
