Cod_Cli;TOTAL_VOL
anon_S69;29506649,57
anon_S103;323450170,8
anon_S107;126806078,1
anon_S160;9523746,907
anon_S170;150234419,5
anon_S238;273268756,2
anon_S286;120331253,8
anon_S368;205591710,7
anon_S371;109131248,8
anon_S375;49166534,75
anon_S401;125817899,7
anon_S407;12623842,39
anon_S457;9085677,137
anon_S504;33502475,68
anon_S508;347856995,2
anon_S531;46286743,27
anon_S567;185370455,8
anon_S572;44065249,16
anon_S583;63982719,48
anon_S589;42822310,47
anon_S590;101717950,1
anon_S592;149964849,6
anon_S596;182363460,8
anon_S619;120396128,1
anon_S623;24364887,5
anon_S639;71286070,17
anon_S1249;51021411,48
anon_S1266;195300974,9
anon_S1297;22633713,56
anon_S1317;152291750,6
anon_S1357;210427177,6
anon_S1358;57680890,84
anon_S1386;68274903,11
anon_S1410;52228867,49
anon_S1413;39200244,34
anon_S1446;79513605,09
anon_S1458;227746182,8
anon_S1501;38523597,95
anon_S1556;153725125
anon_S1557;330809260,3
anon_S1701;273093651,1
anon_S1716;116937891,1
anon_S1727;36701423,01
anon_S1737;29099654,59
anon_S1760;73799476,73
anon_S1784;71945513,69
anon_S1825;81680612,83
anon_S1847;163676679
anon_S1886;57520290,27
anon_S1893;125636382,8
anon_S1909;92232375,83
anon_S1979;83941962,81
anon_S2026;217086066,9
anon_S2045;15540673,79
anon_S2055;184234940,6
anon_S2057;102966926,6
anon_S2061;172283469,7
anon_S2132;52961527,01
anon_S2178;76666329,2
anon_S2183;60531658,32
anon_S2185;228019997,2
anon_S2204;125238546,5
anon_S2220;25498714,71
anon_S2222;227147321,8
anon_S2234;209576008,6
anon_S2243;52581377,56
anon_S2248;235060813,8
anon_S2258;21298061,67
anon_S2474;209456056,3
anon_S2478;154594311,6
anon_S2494;49789924,07
anon_S2499;64596391,23
anon_S2513;39606520,79
anon_S2520;80543661,91
anon_S2556;140082814,3
anon_S2572;285429919,4
anon_S2595;108235142,5
anon_S2598;231122646
anon_S2713;305571614,1
anon_S2718;304621723,7
anon_S2732;155746703,9
anon_S2759;164091803,5
anon_S2767;64164004,74
anon_S2809;232121930,4
anon_S2817;28622473,78
anon_S2845;134855509,5
anon_S2848;81249036,52
anon_S2866;182809150,9
anon_S2875;253242966,5
anon_S2898;113476371,5
anon_S2901;136270189,4
anon_S2905;69443518,3
anon_S2915;290976591,6
anon_S2937;164319891,4
anon_S2963;166524555,4
anon_S2967;40106667,63
anon_S2974;51779571,52
anon_S2978;288299574,6
anon_S2991;187966545,1
anon_S3074;113290448,2
anon_S3149;99280663,59
anon_S3160;11701434,05
anon_S3240;91744652,8
anon_S3355;47146041,26
